epoch,train_loss,val_loss,train_acc(%),val_acc(%)
1,3.975219,0.605645,29.326030,61.271975
2,1.969885,0.417971,58.371240,74.017580
3,1.478527,0.322315,67.306443,79.291624
4,1.246982,0.271170,72.433160,83.221303
5,1.070715,0.209659,76.515503,87.383661
6,0.953517,0.179277,79.579001,89.167528
7,0.815961,0.144650,82.830486,91.339193
8,0.739919,0.128690,84.814798,92.321613
9,0.675439,0.113004,86.683067,93.278180
10,0.608833,0.098269,88.138229,94.389866
11,0.560939,0.079683,89.331136,95.475698
12,0.518888,0.074011,90.352302,95.863495
13,0.492908,0.068063,90.811827,96.173733
14,0.459056,0.062201,91.533606,96.483971
15,0.437260,0.058690,91.979205,96.613237
16,0.411866,0.056145,92.373747,96.768356
17,0.396530,0.053980,92.728834,96.845915
18,0.382550,0.051515,92.967880,97.156153
19,0.371394,0.049949,93.056071,97.130300
20,0.359972,0.048786,93.336892,97.156153
21,0.351917,0.047637,93.457575,97.233713
22,0.342774,0.046823,93.522558,97.285419
23,0.336036,0.046678,93.666450,97.285419
24,0.332508,0.046305,93.698942,97.337125
25,0.330387,0.046152,93.675733,97.311272
