epoch,train_loss,val_loss,train_acc(%),val_acc(%)
1,1.760849,0.662465,33.548242,59.831482
2,1.255964,0.544402,54.568508,66.875049
3,1.116262,0.479628,59.819098,71.196707
4,1.028647,0.435773,63.210575,73.681758
5,0.966639,0.402560,65.689107,75.928011
6,0.915624,0.365806,67.907339,78.253863
7,0.871168,0.339649,69.954447,80.067174
8,0.831437,0.315177,71.809430,81.463074
9,0.798474,0.293267,73.479861,82.895861
10,0.768200,0.271802,75.016871,84.282053
11,0.741439,0.254921,76.371224,85.309078
12,0.717072,0.239583,77.636916,86.363283
13,0.695915,0.225411,78.739920,87.221403
14,0.676984,0.212038,79.746862,88.036810
15,0.660685,0.202351,80.559783,88.561000
16,0.646824,0.194052,81.240316,89.104605
17,0.636097,0.187564,81.848027,89.498719
18,0.627859,0.182930,82.231075,89.751107
19,0.622347,0.179783,82.493097,89.923895
20,0.618250,0.177638,82.705193,90.048148
